Data as of,Start Date,End Date,Sex,Age Years,Total deaths,COVID-19 Deaths
02-03-2021,01-01-2020,01/30/2021,Male,80 Years,44166,6610
02-03-2021,01-01-2020,01/30/2021,Male,81 Years,44502,6455
02-03-2021,01-01-2020,01/30/2021,Male,82 Years,44805,6534
02-03-2021,01-01-2020,01/30/2021,Male,83 Years,44451,6623
02-03-2021,01-01-2020,01/30/2021,Male,84 Years,44392,6443
02-03-2021,01-01-2020,01/30/2021,Male,85 Years and over,413701,56709
02-03-2021,01-01-2020,01/30/2021,Female,<1 year,8501,14
02-03-2021,01-01-2020,01/30/2021,Female,01 Years,563,4
02-03-2021,01-01-2020,01/30/2021,Female,02 Years,373,1
02-03-2021,01-01-2020,01/30/2021,Female,03 Years,305,3
02-03-2021,01-01-2020,01/30/2021,Female,04 Years,228,1
02-03-2021,01-01-2020,01/30/2021,Female,05 Years,206,2
02-03-2021,01-01-2020,01/30/2021,Female,06 Years,199,3
02-03-2021,01-01-2020,01/30/2021,Female,07 Years,198,2
02-03-2021,01-01-2020,01/30/2021,Female,08 Years,190,1
02-03-2021,01-01-2020,01/30/2021,Female,09 Years,167,3
02-03-2021,01-01-2020,01/30/2021,Female,10 Years,181,1
02-03-2021,01-01-2020,01/30/2021,Female,11 Years,204,3
02-03-2021,01-01-2020,01/30/2021,Female,12 Years,266,4
02-03-2021,01-01-2020,01/30/2021,Female,13 Years,305,4
02-03-2021,01-01-2020,01/30/2021,Female,14 Years,352,6
02-03-2021,01-01-2020,01/30/2021,Female,15 Years,433,9
02-03-2021,01-01-2020,01/30/2021,Female,16 Years,518,7
02-03-2021,01-01-2020,01/30/2021,Female,17 Years,595,9
02-03-2021,01-01-2020,01/30/2021,Female,18 Years,840,23
02-03-2021,01-01-2020,01/30/2021,Female,19 Years,945,21
02-03-2021,01-01-2020,01/30/2021,Female,20 Years,982,25
02-03-2021,01-01-2020,01/30/2021,Female,21 Years,1179,30
02-03-2021,01-01-2020,01/30/2021,Female,22 Years,1185,47
02-03-2021,01-01-2020,01/30/2021,Female,23 Years,1353,37
02-03-2021,01-01-2020,01/30/2021,Female,24 Years,1380,31
02-03-2021,01-01-2020,01/30/2021,Female,25 Years,1569,58
02-03-2021,01-01-2020,01/30/2021,Female,26 Years,1653,54
02-03-2021,01-01-2020,01/30/2021,Female,27 Years,1835,74
02-03-2021,01-01-2020,01/30/2021,Female,28 Years,1978,75
02-03-2021,01-01-2020,01/30/2021,Female,29 Years,2203,81
02-03-2021,01-01-2020,01/30/2021,Female,30 Years,2374,126
02-03-2021,01-01-2020,01/30/2021,Female,31 Years,2337,112
02-03-2021,01-01-2020,01/30/2021,Female,32 Years,2563,123
02-03-2021,01-01-2020,01/30/2021,Female,33 Years,2702,127
02-03-2021,01-01-2020,01/30/2021,Female,34 Years,2729,136
02-03-2021,01-01-2020,01/30/2021,Female,35 Years,2917,141
02-03-2021,01-01-2020,01/30/2021,Female,36 Years,3034,154
02-03-2021,01-01-2020,01/30/2021,Female,37 Years,3343,160
02-03-2021,01-01-2020,01/30/2021,Female,38 Years,3391,217
02-03-2021,01-01-2020,01/30/2021,Female,39 Years,3603,210
02-03-2021,01-01-2020,01/30/2021,Female,40 Years,3775,238
02-03-2021,01-01-2020,01/30/2021,Female,41 Years,4022,310
02-03-2021,01-01-2020,01/30/2021,Female,42 Years,3939,277
02-03-2021,01-01-2020,01/30/2021,Female,43 Years,4237,344
02-03-2021,01-01-2020,01/30/2021,Female,44 Years,4409,340
02-03-2021,01-01-2020,01/30/2021,Female,45 Years,4818,396
02-03-2021,01-01-2020,01/30/2021,Female,46 Years,5077,432
02-03-2021,01-01-2020,01/30/2021,Female,47 Years,5604,464
02-03-2021,01-01-2020,01/30/2021,Female,48 Years,6235,545
02-03-2021,01-01-2020,01/30/2021,Female,49 Years,7095,647
02-03-2021,01-01-2020,01/30/2021,Female,50 Years,7686,707
02-03-2021,01-01-2020,01/30/2021,Female,51 Years,8084,697
02-03-2021,01-01-2020,01/30/2021,Female,52 Years,8617,765
02-03-2021,01-01-2020,01/30/2021,Female,53 Years,9343,829
02-03-2021,01-01-2020,01/30/2021,Female,54 Years,10358,943
02-03-2021,01-01-2020,01/30/2021,Female,55 Years,11721,1007
02-03-2021,01-01-2020,01/30/2021,Female,56 Years,13015,1197
02-03-2021,01-01-2020,01/30/2021,Female,57 Years,14445,1388
02-03-2021,01-01-2020,01/30/2021,Female,58 Years,15199,1474
02-03-2021,01-01-2020,01/30/2021,Female,59 Years,16987,1651
02-03-2021,01-01-2020,01/30/2021,Female,60 Years,18492,1907
02-03-2021,01-01-2020,01/30/2021,Female,61 Years,19423,1953
02-03-2021,01-01-2020,01/30/2021,Female,62 Years,20534,2192
02-03-2021,01-01-2020,01/30/2021,Female,63 Years,21950,2387
02-03-2021,01-01-2020,01/30/2021,Female,64 Years,22571,2499
02-03-2021,01-01-2020,01/30/2021,Female,65 Years,23792,2746
02-03-2021,01-01-2020,01/30/2021,Female,66 Years,24541,2731
02-03-2021,01-01-2020,01/30/2021,Female,67 Years,25561,2968
02-03-2021,01-01-2020,01/30/2021,Female,68 Years,26496,3114
02-03-2021,01-01-2020,01/30/2021,Female,69 Years,27516,3296
02-03-2021,01-01-2020,01/30/2021,Female,70 Years,29031,3435
02-03-2021,01-01-2020,01/30/2021,Female,71 Years,31460,3761
02-03-2021,01-01-2020,01/30/2021,Female,72 Years,34054,4089
02-03-2021,01-01-2020,01/30/2021,Female,73 Years,37330,4373
02-03-2021,01-01-2020,01/30/2021,Female,74 Years,32742,4225
02-03-2021,01-01-2020,01/30/2021,Female,75 Years,33630,4159
02-03-2021,01-01-2020,01/30/2021,Female,76 Years,36574,4465
02-03-2021,01-01-2020,01/30/2021,Female,77 Years,40326,5079
02-03-2021,01-01-2020,01/30/2021,Female,78 Years,39504,5088
02-03-2021,01-01-2020,01/30/2021,Female,79 Years,39550,4959
02-03-2021,01-01-2020,01/30/2021,Female,80 Years,40868,5138
02-03-2021,01-01-2020,01/30/2021,Female,81 Years,42328,5286
02-03-2021,01-01-2020,01/30/2021,Female,82 Years,44504,5641
02-03-2021,01-01-2020,01/30/2021,Female,83 Years,44974,5677
02-03-2021,01-01-2020,01/30/2021,Female,84 Years,46888,5960
02-03-2021,01-01-2020,01/30/2021,Female,85 Years and over,645586,78564
